,x,y,z,priority,forward,my_area,exist
0,0,0.0875,0,19,TRUE,FALSE,TRUE
1,0,0.1875,0,18,FALSE,FALSE,TRUE
2,0,0.2875,0,17,TRUE,FALSE,TRUE
3,0,0.3875,0,16,FALSE,FALSE,TRUE
4,0,0.4875,0,15,TRUE,FALSE,TRUE
5,0,0.5875,0,14,FALSE,FALSE,TRUE
6,0,0.6875,0,13,TRUE,FALSE,TRUE
7,0,0.7875,0,12,FALSE,FALSE,TRUE
8,0,0.8875,0,11,TRUE,FALSE,TRUE
9,0.262,0.0665,0,10,TRUE,TRUE,TRUE
10,0.262,0.2165,0,99,TRUE,TRUE,TRUE
11,0.262,0.3665,0,98,TRUE,TRUE,TRUE
12,0.262,0.5965,0,97,TRUE,TRUE,TRUE
13,0.262,0.7465,0,96,TRUE,TRUE,TRUE
14,0.262,0.8965,0,95,TRUE,TRUE,TRUE
15,0.412,0.0665,0,94,TRUE,TRUE,TRUE
16,0.412,0.2165,0,93,TRUE,TRUE,TRUE
17,0.412,0.3665,0,92,TRUE,TRUE,TRUE
18,0.412,0.5965,0,91,TRUE,TRUE,TRUE
19,0.412,0.7465,0,90,TRUE,TRUE,TRUE
20,0.412,0.8965,0,3,TRUE,TRUE,TRUE
21,0.562,0.0665,0,88,TRUE,TRUE,TRUE
22,0.562,0.2165,0,87,TRUE,TRUE,TRUE
23,0.562,0.3665,0,86,TRUE,TRUE,TRUE
24,0.562,0.5965,0,85,TRUE,TRUE,TRUE
25,0.562,0.7465,0,2,TRUE,TRUE,TRUE
26,0.562,0.8965,0,1,TRUE,TRUE,TRUE
