,x,y,z,priority,open,box_row
0,0.93875,0.74,0,1,TRUE,0
1,0.93875,0.74,0,6,TRUE,0
2,0.93875,0.74,0,8,TRUE,0
3,0.93875,0.74,0,10,TRUE,0
4,1.02625,0.74,0,4,TRUE,1
5,1.02625,0.74,0,5,TRUE,1
6,1.02625,0.74,0,7,TRUE,1
7,1.02625,0.74,0,9,TRUE,1
8,1.13375,0.74,0,2,TRUE,2
9,1.13375,0.74,0,12,TRUE,2
10,1.13375,0.74,0,14,TRUE,2
11,1.13375,0.74,0,16,TRUE,2
12,1.22125,0.74,0,11,TRUE,3
13,1.22125,0.74,0,13,TRUE,3
14,1.22125,0.74,0,15,TRUE,3
15,1.22125,0.74,0,17,TRUE,3
16,1.32875,0.74,0,3,TRUE,4
17,1.32875,0.74,0,20,TRUE,4
18,1.32875,0.74,0,22,TRUE,4
19,1.32875,0.74,0,24,TRUE,4
20,1.41625,0.74,0,18,TRUE,5
21,1.41625,0.74,0,19,TRUE,5
22,1.41625,0.74,0,21,TRUE,5
23,1.41625,0.74,0,23,TRUE,5
